produto_id;fornecedor_id;transportadora_id;lote_id;tipo_mov_id;data;qtde_prod;preco_venda;unidade_medida
15;;10;19;2;2024-07-03;455;26.21;UN
103;15;4;60;1;2024-07-03;907;19.31;UN
59;;7;45;2;2024-07-03;821;10.43;UN
43;21;9;33;1;2024-07-03;547;26.64;UN
18;;;7;2;2024-07-03;555;0.46;UN
128;8;12;60;1;2024-07-03;92;11.67;UN
140;;5;70;2;2024-07-03;2;231.39;UN
92;;;14;3;2024-07-03;20;9.61;UN
62;;11;2;2;2024-07-03;507;102.51;UN
37;;;27;3;2024-07-03;29;24.89;UN
137;;;19;2;2024-07-03;631;8.2;UN
135;9;18;66;1;2024-07-03;856;0.23;UN
105;;;9;3;2024-07-03;4;179.32;UN
118;;3;22;2;2024-07-03;499;64.97;UN
28;;;48;3;2024-07-03;24;66.26;UN
34;;12;43;2;2024-07-03;663;207.93;UN
149;19;;52;1;2024-07-03;581;1.69;UN
83;;17;54;2;2024-07-03;445;28.53;UN
57;;;21;3;2024-07-03;19;49.18;UN
103;1;20;26;1;2024-07-03;779;21.0;UN
20;5;;21;1;2024-07-03;535;13.28;UN
158;3;;51;1;2024-07-03;802;414.35;UN
15;;;41;3;2024-07-03;22;29.23;UN
60;;19;52;2;2024-07-03;292;7.28;UN
153;7;7;29;1;2024-07-03;673;181.85;UN
17;;8;46;2;2024-07-04;436;9.91;UN
82;;13;20;2;2024-07-04;43;1.53;UN
135;;8;30;2;2024-07-04;952;0.27;UN
45;35;13;1;1;2024-07-04;399;142.17;UN
63;;13;9;2;2024-07-04;933;85.87;UN
108;14;2;41;1;2024-07-04;681;286.83;UN
140;13;9;19;1;2024-07-04;81;211.96;UN
139;5;1;32;1;2024-07-04;927;213.72;UN
116;;;7;2;2024-07-04;208;69.1;UN
130;;;12;3;2024-07-04;12;39.18;UN
124;;;57;3;2024-07-04;34;287.66;UN
22;34;;15;1;2024-07-04;985;21.77;UN
71;;6;1;2;2024-07-04;923;230.52;UN
28;;;52;3;2024-07-04;10;58.28;UN
134;27;12;54;1;2024-07-04;597;0.92;UN
161;;6;63;2;2024-07-04;454;32.4;UN
127;19;;45;1;2024-07-04;204;94.77;UN
52;16;11;4;1;2024-07-04;816;97.47;UN
113;;;60;3;2024-07-04;45;8.38;UN
131;;18;64;2;2024-07-04;826;42.12;UN
142;;6;16;2;2024-07-04;511;82.1;UN
114;;5;60;2;2024-07-04;812;13.14;UN
138;;2;29;2;2024-07-04;756;63.31;UN
117;;1;25;2;2024-07-04;909;60.89;UN
73;;6;28;2;2024-07-04;669;2.13;UN
148;;;46;3;2024-07-04;1;1.07;UN
79;;;49;3;2024-07-04;17;229.22;UN
59;28;;21;1;2024-07-04;57;10.34;UN
124;28;11;54;1;2024-07-04;712;282.22;UN
68;;;70;2;2024-07-04;662;256.87;UN
88;;7;29;2;2024-07-04;589;6.92;UN
46;;;49;3;2024-07-04;4;12.4;UN
59;;12;46;2;2024-07-04;720;8.59;UN
67;;;56;2;2024-07-04;500;81.18;UN
14;;16;2;2;2024-07-04;990;9.89;UN
83;;6;13;2;2024-07-04;616;26.57;UN
7;;1;32;2;2024-07-04;876;35.8;UN
57;;;35;2;2024-07-04;569;57.2;UN
104;;;44;2;2024-07-04;424;189.97;UN
36;28;18;3;1;2024-07-04;655;0.87;UN
49;34;;3;1;2024-07-04;496;60.33;UN
69;;;34;2;2024-07-04;817;26.89;UN
83;;;16;3;2024-07-04;43;25.39;UN
149;;;42;2;2024-07-04;437;1.71;UN
107;;;16;2;2024-07-04;12;82.62;UN
150;;;15;3;2024-07-04;21;6.18;UN
44;12;15;19;1;2024-07-04;953;156.76;UN
12;;;53;3;2024-07-04;1;40.91;UN
141;25;18;21;1;2024-07-04;905;63.28;UN
109;;8;62;2;2024-07-05;757;31.22;UN
155;;;10;3;2024-07-05;21;42.4;UN
92;2;16;24;1;2024-07-05;300;9.76;UN
43;18;19;55;1;2024-07-05;705;22.52;UN
67;12;18;58;1;2024-07-05;322;83.38;UN
112;;17;18;2;2024-07-05;813;259.03;UN
87;;18;60;2;2024-07-05;105;7.8;UN
98;;11;33;2;2024-07-05;229;99.85;UN
152;20;;50;1;2024-07-05;80;252.56;UN
134;;;70;2;2024-07-05;928;1.27;UN
32;13;;34;1;2024-07-05;516;130.49;UN
31;;18;65;2;2024-07-05;406;195.36;UN
18;;;17;3;2024-07-05;17;0.45;UN
19;;;61;3;2024-07-05;9;15.92;UN
62;;11;30;2;2024-07-05;163;84.51;UN
108;;;38;3;2024-07-05;49;283.28;UN
141;;;21;3;2024-07-05;7;77.94;UN
140;;14;41;2;2024-07-05;209;285.4;UN
73;;12;53;2;2024-07-05;90;2.36;UN
88;;10;50;2;2024-07-05;8;6.05;UN
44;6;;3;1;2024-07-05;803;158.03;UN
93;;;31;3;2024-07-05;28;29.68;UN
134;4;;35;1;2024-07-05;696;1.11;UN
25;;12;65;2;2024-07-05;298;115.38;UN
145;6;14;67;1;2024-07-05;323;2.46;UN
28;34;2;65;1;2024-07-05;629;76.24;UN
75;18;;61;1;2024-07-05;915;0.95;UN
148;17;18;30;1;2024-07-05;773;1.42;UN
38;;13;14;2;2024-07-05;550;37.89;UN
78;35;18;56;1;2024-07-05;153;175.36;UN
86;19;3;29;1;2024-07-05;808;39.74;UN
113;8;14;50;1;2024-07-05;918;8.35;UN
119;;14;19;2;2024-07-05;287;79.8;UN
75;10;;52;1;2024-07-05;401;0.92;UN
143;;;32;3;2024-07-05;44;26.33;UN
141;4;6;11;1;2024-07-05;604;85.16;UN
106;;;9;3;2024-07-05;26;64.84;UN
121;;;11;3;2024-07-05;33;0.91;UN
26;18;;42;1;2024-07-08;512;5.92;UN
84;;;37;2;2024-07-08;74;20.37;UN
130;;6;2;2;2024-07-08;220;38.13;UN
95;;14;67;2;2024-07-08;557;29.49;UN
147;;15;45;2;2024-07-08;936;0.94;UN
65;14;;50;1;2024-07-08;869;1.03;UN
142;;;68;3;2024-07-08;43;79.5;UN
45;7;;12;1;2024-07-08;850;129.09;UN
85;;17;39;2;2024-07-08;100;36.01;UN
58;;2;37;2;2024-07-08;944;5.15;UN
110;;;7;2;2024-07-08;405;31.94;UN
43;16;15;39;1;2024-07-08;731;23.19;UN
71;;;42;3;2024-07-08;41;209.23;UN
3;;18;34;2;2024-07-08;687;44.27;UN
2;19;;70;1;2024-07-08;143;69.38;UN
10;;;20;2;2024-07-08;824;109.48;UN
69;;10;27;2;2024-07-08;333;25.26;UN
122;25;3;16;1;2024-07-08;547;28.65;UN
66;;;56;3;2024-07-08;16;315.56;UN
35;32;4;4;1;2024-07-08;369;18.16;UN
115;31;13;10;1;2024-07-08;845;64.02;UN
112;15;14;23;1;2024-07-08;800;271.22;UN
116;;;49;3;2024-07-08;2;78.09;UN
7;;;25;3;2024-07-08;3;32.62;UN
94;30;19;14;1;2024-07-08;442;41.44;UN
122;8;6;2;1;2024-07-08;851;28.45;UN
109;;15;62;2;2024-07-08;740;28.21;UN
22;;18;31;2;2024-07-08;152;21.83;UN
1;34;19;7;1;2024-07-08;968;14.34;UN
9;33;;63;1;2024-07-08;751;21.95;UN
18;;14;13;2;2024-07-08;646;0.46;UN
157;15;;28;1;2024-07-08;828;271.55;UN
25;33;6;2;1;2024-07-08;731;113.14;UN
125;;;5;3;2024-07-08;24;5.35;UN
112;;;70;2;2024-07-08;453;277.01;UN
40;11;9;8;1;2024-07-08;179;187.45;UN
55;;;36;3;2024-07-08;12;73.16;UN
47;14;18;23;1;2024-07-08;502;6.72;UN
131;;;53;3;2024-07-08;48;37.95;UN
3;;8;23;2;2024-07-08;549;34.59;UN
64;12;;33;1;2024-07-08;357;1.15;UN
13;;;1;2;2024-07-08;866;10.89;UN
51;34;20;62;1;2024-07-08;544;23.65;UN
32;;;43;3;2024-07-08;36;124.23;UN
53;;19;11;2;2024-07-09;887;90.26;UN
31;17;9;23;1;2024-07-09;377;217.0;UN
46;;;49;2;2024-07-09;734;12.07;UN
97;23;;7;1;2024-07-09;682;20.76;UN
69;;;13;2;2024-07-09;320;27.11;UN
84;;;53;3;2024-07-09;36;20.4;UN
44;;;11;3;2024-07-09;8;162.86;UN
44;;;34;3;2024-07-09;6;148.06;UN
145;;;33;3;2024-07-09;24;2.27;UN
143;6;6;44;1;2024-07-09;985;22.21;UN
120;2;4;51;1;2024-07-09;531;1.23;UN
162;7;8;16;1;2024-07-09;584;169.93;UN
130;;;32;2;2024-07-09;987;38.41;UN
141;;;40;2;2024-07-09;797;77.75;UN
26;8;7;59;1;2024-07-09;295;5.72;UN
20;;6;29;2;2024-07-09;57;13.41;UN
121;;;2;3;2024-07-09;10;0.9;UN
20;;5;32;2;2024-07-09;15;13.93;UN
155;23;5;6;1;2024-07-09;568;52.42;UN
40;;;6;3;2024-07-09;13;160.45;UN
148;;8;66;2;2024-07-09;781;1.24;UN
16;20;;41;1;2024-07-09;911;32.78;UN
1;15;1;20;1;2024-07-09;995;12.59;UN
14;;;52;3;2024-07-09;17;7.94;UN
151;1;8;30;1;2024-07-09;871;5.69;UN
39;;8;46;2;2024-07-09;718;45.72;UN
145;;1;57;2;2024-07-10;124;2.8;UN
50;;2;35;2;2024-07-10;263;20.89;UN
143;;;25;3;2024-07-10;48;23.65;UN
63;;5;44;2;2024-07-10;956;86.59;UN
134;;;54;2;2024-07-10;982;1.13;UN
64;13;18;19;1;2024-07-10;511;1.19;UN
156;;4;9;2;2024-07-10;280;34.56;UN
94;11;;68;1;2024-07-10;2;36.3;UN
32;11;12;27;1;2024-07-10;241;140.62;UN
151;30;9;16;1;2024-07-10;56;4.76;UN
11;;3;60;2;2024-07-10;682;134.94;UN
120;21;;58;1;2024-07-10;793;1.17;UN
108;;;52;3;2024-07-10;2;229.69;UN
27;10;;64;1;2024-07-10;650;103.84;UN
81;;3;17;2;2024-07-10;780;1.42;UN
72;;;21;3;2024-07-10;19;1.79;UN
62;31;19;60;1;2024-07-10;336;85.36;UN
109;;9;45;2;2024-07-10;550;30.22;UN
19;34;;31;1;2024-07-10;730;15.69;UN
60;;;44;3;2024-07-10;39;7.35;UN
24;;;28;2;2024-07-10;867;11.01;UN
144;8;9;45;1;2024-07-10;482;17.5;UN
27;35;;23;1;2024-07-10;917;97.76;UN
28;;;8;2;2024-07-10;88;75.82;UN
56;;10;60;2;2024-07-10;887;31.45;UN
148;;;39;2;2024-07-10;100;1.14;UN
13;;11;16;2;2024-07-10;227;11.38;UN
18;;;34;3;2024-07-10;10;0.49;UN
92;;;43;3;2024-07-10;3;9.32;UN
137;14;5;21;1;2024-07-10;498;8.13;UN
47;36;;49;1;2024-07-10;56;6.99;UN
63;23;17;22;1;2024-07-10;953;101.57;UN
88;24;6;24;1;2024-07-10;947;7.63;UN
6;;;51;3;2024-07-10;46;16.62;UN
65;24;18;31;1;2024-07-10;835;1.03;UN
122;;;58;3;2024-07-10;17;28.23;UN
57;;;42;3;2024-07-10;27;57.06;UN
57;;;21;3;2024-07-10;43;59.04;UN
9;12;9;68;1;2024-07-10;227;18.0;UN
71;;1;26;2;2024-07-10;415;214.97;UN
146;;13;52;2;2024-07-10;156;1.94;UN
50;24;9;61;1;2024-07-10;952;21.01;UN
99;;;52;3;2024-07-10;28;34.78;UN
67;;;63;2;2024-07-10;827;82.12;UN
39;15;1;27;1;2024-07-10;865;45.13;UN
161;;14;25;2;2024-07-10;751;33.02;UN
65;;;22;3;2024-07-10;27;0.89;UN
143;;;27;3;2024-07-10;38;27.4;UN
17;6;17;68;1;2024-07-10;6;12.5;UN
138;;;45;2;2024-07-10;772;72.69;UN
43;;;50;3;2024-07-10;1;25.78;UN
118;31;;41;1;2024-07-10;428;74.22;UN
15;;;1;3;2024-07-10;29;32.14;UN
65;34;;46;1;2024-07-10;872;1.14;UN
103;;13;58;2;2024-07-10;795;17.53;UN
66;;;58;3;2024-07-10;49;316.93;UN
161;13;;55;1;2024-07-10;203;28.4;UN
82;;;56;3;2024-07-10;9;1.66;UN
44;;2;65;2;2024-07-11;570;161.63;UN
49;;;7;2;2024-07-11;175;57.09;UN
122;;5;3;2;2024-07-11;660;31.22;UN
11;19;;64;1;2024-07-11;982;151.75;UN
7;;12;12;2;2024-07-11;504;27.5;UN
122;;;12;3;2024-07-11;17;32.46;UN
151;;13;37;2;2024-07-11;57;4.44;UN
97;;;43;3;2024-07-11;43;23.94;UN
50;25;17;4;1;2024-07-11;931;22.07;UN
51;;19;45;2;2024-07-11;21;28.75;UN
85;;15;31;2;2024-07-11;988;39.2;UN
70;9;6;16;1;2024-07-11;750;116.58;UN
62;28;13;36;1;2024-07-11;443;105.95;UN
129;5;13;35;1;2024-07-11;15;13.9;UN
113;;20;53;2;2024-07-11;462;6.26;UN
20;;;70;3;2024-07-11;36;16.46;UN
64;30;10;43;1;2024-07-11;650;1.21;UN
50;;3;14;2;2024-07-11;914;23.83;UN
117;;14;48;2;2024-07-11;787;54.37;UN
122;32;;55;1;2024-07-11;925;28.95;UN
78;;;37;3;2024-07-11;13;144.59;UN
105;13;;34;1;2024-07-11;17;139.94;UN
21;;;9;3;2024-07-11;40;36.84;UN
57;31;;39;1;2024-07-11;992;49.11;UN
97;;9;11;2;2024-07-11;608;27.88;UN
96;6;;58;1;2024-07-11;712;29.35;UN
9;20;;61;1;2024-07-11;964;17.33;UN
39;11;;35;1;2024-07-11;230;35.81;UN
19;;;66;3;2024-07-11;3;13.85;UN
158;30;11;26;1;2024-07-11;305;378.67;UN
45;;3;54;2;2024-07-11;990;150.72;UN
11;26;;5;1;2024-07-11;112;141.8;UN
148;9;5;32;1;2024-07-11;901;1.32;UN
81;27;;63;1;2024-07-11;112;1.36;UN
108;;;7;3;2024-07-11;8;256.05;UN
36;9;;61;1;2024-07-11;960;0.67;UN
12;14;15;43;1;2024-07-11;175;34.66;UN
117;;;30;3;2024-07-11;46;50.81;UN
78;;;30;3;2024-07-11;11;162.49;UN
118;1;1;6;1;2024-07-11;956;73.57;UN
60;;;8;3;2024-07-11;44;8.02;UN
120;;8;24;2;2024-07-11;506;1.23;UN
109;;1;37;2;2024-07-11;130;24.43;UN
26;;3;22;2;2024-07-11;98;6.79;UN
58;;18;16;2;2024-07-11;867;4.7;UN
74;14;;58;1;2024-07-11;855;1.32;UN
116;;13;59;2;2024-07-11;841;70.39;UN
55;;17;16;2;2024-07-11;913;65.23;UN
100;11;;67;1;2024-07-11;689;0.77;UN
58;;;59;3;2024-07-11;41;4.18;UN
3;;;44;3;2024-07-11;41;43.12;UN
10;;5;60;2;2024-07-11;276;106.53;UN
49;;;5;3;2024-07-11;10;56.06;UN
124;;;52;3;2024-07-11;3;239.65;UN
68;16;18;14;1;2024-07-11;400;234.39;UN
93;;;58;3;2024-07-11;32;38.06;UN
14;35;;19;1;2024-07-11;290;8.85;UN
1;3;20;46;1;2024-07-11;995;15.39;UN
14;17;8;69;1;2024-07-11;517;7.45;UN
55;;;7;3;2024-07-11;29;72.63;UN
127;;15;38;2;2024-07-12;101;72.21;UN
8;14;15;36;1;2024-07-12;998;17.3;UN
146;;13;40;2;2024-07-12;129;1.78;UN
65;;17;43;2;2024-07-12;819;1.0;UN
89;;;65;2;2024-07-12;257;10.07;UN
112;21;13;65;1;2024-07-12;400;268.4;UN
56;22;10;51;1;2024-07-12;631;30.6;UN
82;;;3;2;2024-07-12;459;1.3;UN
18;;6;55;2;2024-07-12;58;0.43;UN
17;;10;61;2;2024-07-12;538;10.02;UN
141;;18;13;2;2024-07-12;631;69.7;UN
9;;20;38;2;2024-07-12;841;19.69;UN
121;;;9;2;2024-07-12;748;0.83;UN
63;17;14;19;1;2024-07-12;482;92.7;UN
123;;20;43;2;2024-07-12;62;36.21;UN
7;6;12;44;1;2024-07-12;873;35.39;UN
4;;;5;3;2024-07-12;48;7.92;UN
21;;12;22;2;2024-07-12;818;27.54;UN
22;35;18;8;1;2024-07-12;314;18.22;UN
99;;;65;3;2024-07-12;39;33.57;UN
106;10;;48;1;2024-07-12;561;61.26;UN
153;;8;42;2;2024-07-12;754;163.3;UN
132;19;17;8;1;2024-07-12;120;17.41;UN
4;;;1;3;2024-07-12;8;6.2;UN
53;29;13;45;1;2024-07-15;389;70.74;UN
57;9;12;67;1;2024-07-15;349;60.33;UN
14;5;9;14;1;2024-07-15;284;7.96;UN
2;;;64;3;2024-07-15;19;79.64;UN
74;;3;48;2;2024-07-15;630;1.32;UN
54;;;17;3;2024-07-15;21;65.63;UN
39;;8;25;2;2024-07-15;320;46.71;UN
61;;12;34;2;2024-07-15;225;80.16;UN
97;;11;67;2;2024-07-15;266;25.98;UN
148;;14;50;2;2024-07-15;66;1.27;UN
156;18;3;52;1;2024-07-15;774;30.44;UN
68;;;61;3;2024-07-15;25;189.65;UN
53;;8;31;2;2024-07-15;54;85.56;UN
20;;10;15;2;2024-07-15;619;15.08;UN
72;;;3;2;2024-07-15;953;1.77;UN
152;35;14;65;1;2024-07-15;314;231.89;UN
44;;9;61;2;2024-07-15;988;152.47;UN
126;;18;66;2;2024-07-15;297;66.59;UN
97;;17;17;2;2024-07-15;694;22.34;UN
1;;10;66;2;2024-07-15;414;14.39;UN
36;26;16;6;1;2024-07-15;56;0.81;UN
81;;4;11;2;2024-07-15;15;1.38;UN
146;19;;14;1;2024-07-15;39;2.15;UN
143;;;4;2;2024-07-15;95;25.96;UN
104;;;14;3;2024-07-15;41;242.69;UN
42;24;1;38;1;2024-07-15;676;4.08;UN
110;27;3;66;1;2024-07-15;926;32.94;UN
7;;;47;3;2024-07-15;27;28.01;UN
20;;;32;3;2024-07-15;14;12.94;UN
150;;;64;3;2024-07-15;9;6.48;UN
141;19;18;42;1;2024-07-15;895;81.12;UN
93;;;33;3;2024-07-15;24;39.53;UN
101;;;52;2;2024-07-15;617;18.0;UN
78;;9;13;2;2024-07-15;695;157.37;UN
73;35;19;19;1;2024-07-15;805;2.12;UN
64;;6;7;2;2024-07-15;173;0.88;UN
3;;19;7;2;2024-07-15;5;45.42;UN
59;;8;33;2;2024-07-15;245;10.47;UN
136;;;67;2;2024-07-15;19;1.76;UN
104;31;6;6;1;2024-07-15;219;222.42;UN
14;13;;34;1;2024-07-15;925;8.99;UN
89;;;6;3;2024-07-15;15;12.34;UN
106;33;4;32;1;2024-07-15;234;71.04;UN
116;;;48;3;2024-07-15;46;68.63;UN
75;;8;5;2;2024-07-15;354;0.83;UN
81;36;17;2;1;2024-07-15;107;1.34;UN
41;27;8;59;1;2024-07-15;211;122.41;UN
126;32;17;60;1;2024-07-15;308;67.08;UN
106;23;17;56;1;2024-07-16;140;65.35;UN
160;25;;22;1;2024-07-16;936;221.42;UN
51;;;59;3;2024-07-16;14;27.12;UN
129;31;;48;1;2024-07-16;611;12.56;UN
43;;;53;3;2024-07-16;25;26.4;UN
3;;4;39;2;2024-07-16;503;43.66;UN
52;;;46;3;2024-07-16;32;106.12;UN
89;;8;56;2;2024-07-16;476;12.1;UN
135;;;1;3;2024-07-16;50;0.27;UN
62;;15;66;2;2024-07-16;57;87.56;UN
101;;;31;3;2024-07-16;42;17.5;UN
84;8;1;7;1;2024-07-16;60;21.77;UN
100;29;4;12;1;2024-07-16;699;0.99;UN
27;;;34;3;2024-07-16;29;92.54;UN
18;;;32;3;2024-07-16;4;0.46;UN
97;;7;13;2;2024-07-16;380;23.85;UN
8;;1;7;2;2024-07-16;274;18.57;UN
57;;;40;2;2024-07-16;354;65.12;UN
52;;;53;2;2024-07-16;673;103.41;UN
162;7;;26;1;2024-07-16;150;173.35;UN
62;15;5;52;1;2024-07-16;335;92.56;UN
23;;;35;3;2024-07-16;36;5.9;UN
100;24;17;63;1;2024-07-16;56;0.86;UN
1;;;40;3;2024-07-16;16;13.59;UN
60;;;32;3;2024-07-17;44;8.48;UN
120;36;;49;1;2024-07-17;552;1.57;UN
48;5;16;36;1;2024-07-17;184;4458.03;UN
140;;15;52;2;2024-07-17;66;272.46;UN
47;;8;66;2;2024-07-17;136;8.15;UN
103;;15;70;2;2024-07-17;886;21.86;UN
50;11;19;44;1;2024-07-17;42;22.25;UN
66;22;;59;1;2024-07-17;439;267.55;UN
101;;;54;3;2024-07-17;44;18.09;UN
43;;2;56;2;2024-07-17;795;29.8;UN
44;;20;50;2;2024-07-17;653;149.05;UN
7;23;;55;1;2024-07-17;406;29.15;UN
41;;;15;3;2024-07-17;18;125.66;UN
101;30;;7;1;2024-07-17;111;19.63;UN
103;;;40;3;2024-07-17;19;23.37;UN
51;;;51;3;2024-07-17;26;21.35;UN
121;;1;21;2;2024-07-17;636;0.87;UN
150;;;61;3;2024-07-17;46;5.5;UN
111;;18;55;2;2024-07-17;413;179.51;UN
43;;;61;3;2024-07-17;33;24.32;UN
158;;;52;2;2024-07-17;952;427.45;UN
70;34;16;47;1;2024-07-17;996;119.75;UN
51;;15;62;2;2024-07-17;266;22.84;UN
28;29;7;20;1;2024-07-17;563;61.15;UN
142;;8;29;2;2024-07-17;7;65.03;UN
13;3;7;55;1;2024-07-17;736;11.94;UN
9;21;15;66;1;2024-07-17;821;23.14;UN
132;;19;55;2;2024-07-17;646;20.82;UN
8;;9;42;2;2024-07-17;117;14.67;UN
22;;19;42;2;2024-07-17;433;18.31;UN
100;10;2;14;1;2024-07-17;520;0.87;UN
79;;;64;2;2024-07-17;501;262.13;UN
66;18;18;68;1;2024-07-17;473;292.03;UN
157;29;;48;1;2024-07-17;373;288.52;UN
79;;20;55;2;2024-07-17;926;252.27;UN
8;19;19;53;1;2024-07-17;838;16.19;UN
65;;16;55;2;2024-07-17;964;0.93;UN
111;;;5;3;2024-07-17;49;183.28;UN
86;6;;45;1;2024-07-17;8;41.22;UN
98;;8;70;2;2024-07-17;533;96.35;UN
75;;20;3;2;2024-07-17;726;0.81;UN
85;16;2;14;1;2024-07-17;747;34.28;UN
43;24;4;26;1;2024-07-17;931;22.94;UN
91;23;3;16;1;2024-07-17;808;8.12;UN
144;3;;57;1;2024-07-17;825;14.82;UN
42;;20;3;2;2024-07-17;465;3.81;UN
127;;;4;3;2024-07-18;35;81.13;UN
95;;8;10;2;2024-07-18;557;26.19;UN
44;;10;58;2;2024-07-18;998;161.81;UN
122;8;5;53;1;2024-07-18;688;32.13;UN
68;;1;37;2;2024-07-18;766;245.52;UN
57;31;6;23;1;2024-07-18;598;52.68;UN
44;29;7;14;1;2024-07-18;236;163.32;UN
27;;17;40;2;2024-07-18;977;88.45;UN
148;;2;34;2;2024-07-18;340;1.06;UN
159;;;25;3;2024-07-18;22;120.47;UN
139;;;37;3;2024-07-18;11;220.29;UN
57;7;;52;1;2024-07-18;67;63.44;UN
82;;;54;2;2024-07-18;1;1.6;UN
126;;2;64;2;2024-07-18;944;67.77;UN
20;31;;32;1;2024-07-18;72;16.71;UN
120;;;44;3;2024-07-18;30;1.23;UN
94;;;39;3;2024-07-18;34;33.19;UN
155;;;60;2;2024-07-18;301;51.45;UN
150;6;8;66;1;2024-07-18;287;6.66;UN
122;;14;54;2;2024-07-18;823;31.54;UN
100;;;29;3;2024-07-18;25;0.73;UN
74;7;;48;1;2024-07-18;870;1.29;UN
155;4;14;12;1;2024-07-18;37;55.97;UN
108;;17;33;2;2024-07-18;289;227.94;UN
